HDB,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Method,Run,class=0.0,class=1.0,class=2.0,class=3.0,class=4.0,class=5.0,class=6.0,,,
-,Complete-Data,510,410,366,326,306,207,184,0.973559695010053,,
,,,,,,,,,,,
RANDOM sampling,1,30,25,19,11,11,10,9,0.945843166460721,,
,2,22,24,22,14,20,5,8,0.946662704483036,,0.954976448600811
,3,25,32,13,11,16,9,9,0.94136836177227,,
,4,27,24,14,12,18,12,8,0.961479315858912,,
,5,26,18,17,13,18,12,11,0.979528694429116,,
,,,,,,,,,,,
,,,,,,,,,,,
5%-max-random-random,1,27,22,19,17,15,15,0.98676963796975,,,
,2,32,19,19,17,15,13,0.974243942890374,,,
,3,28,22,21,16,14,14,0.9811708012874,0.979757015616885,,
,4,31,24,16,15,15,14,0.972522672157463,,,
,5,25,22,21,19,17,11,0.984078023779434,,,
,,,,,,,,,,,
5%-max-random-core_points,1,33,26,20,14,12,10,0.950563130800414,,,
,2,38,21,18,16,13,9,0.941491256236072,,,
,3,36,28,16,14,12,9,0.934018339703153,0.945425685580449,,
,4,32,28,18,18,11,8,0.94343096005998,,,
,5,29,29,18,15,15,9,0.957624741102626,,,
,,,,,,,,,,,
5%-max-random-border_points,1,29,24,23,21,14,4,0.93762102638648,,,
,2,37,24,24,16,12,2,0.892734609809201,,,
,3,36,22,21,20,13,3,0.913203823726568,0.9236334789509,,
,4,35,24,22,17,13,4,0.921608760785334,,,
,5,27,26,23,21,9,9,0.952999174046917,,,
,,,,,,,,,,,
5%-max-hard_discard-random,1,29,20,20,17,16,13,0.981866732103851,,,
,2,34,21,19,15,13,13,0.963746346287799,,,
,3,31,25,24,12,12,11,0.953416968074077,0.961815339044231,,
,4,38,19,18,16,13,11,0.948231309711197,,,
,5,29,22,18,17,16,13,0.980894480709548,,,
,,,,,,,,,,,
5%-max-hard_discard-core_points,1,28,24,22,15,13,13,0.974411682373006,,,
,2,32,20,19,17,14,13,0.972805694402189,,,
,3,37,21,18,18,14,7,0.939114328112023,0.96526271939816,,
,4,32,25,19,13,13,13,0.962446656539205,,,
,5,26,23,22,18,16,10,0.97753523556438,,,
,,,,,,,,,,,
5%-max-hard_discard-border_points,1,32,28,25,17,13,,0.969720433520904,,,
,2,32,28,27,20,7,1,0.868411921906717,,,
,3,33,30,23,19,10,,0.957179786397583,0.93151216370716,,
,4,29,28,25,20,12,1,0.895444669287346,,,
,5,33,28,25,15,14,,0.966804007423248,,,
,,,,,,,,,,,
5%-max-soft_discard-random,1,38,17,17,17,16,10,0.949068429144723,,,
,2,29,20,19,17,16,14,0.983651928530924,,,
,3,25,23,20,20,17,10,0.980620576651958,0.967673826454502,,
,4,34,22,20,17,15,7,0.948528939570851,,,
,5,27,23,22,18,14,11,0.976499258374055,,,
,,,,,,,,,,,
5%-max-soft_discard-core_points,1,30,26,18,17,16,8,0.959622656747404,,,
,2,30,22,19,18,14,12,0.974954352337955,0.969648222006611,,
,3,31,25,18,18,12,11,0.963311485417694,,,
,4,33,19,18,17,15,13,0.97150895002588,,,
,5,24,23,22,21,15,10,0.97884366550412,,,
,,,,,,,,,,,
5%-max-soft_discard-border_points,1,31,26,25,20,13,,0.976696367356317,,,
,2,27,27,24,20,16,1,0.908228695610625,0.941906030852037,,
,3,34,31,23,14,13,,0.955828286066406,,,
,4,30,26,24,20,15,,0.983935590455882,,,
,5,32,31,22,17,12,1,0.884841214770956,,,
,,,,,,,,,,,
3C,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Method,Run,class=3.0,class=1.0,class=2.0,,,,,,,
-,Complete-Data,700,100,100,0.622365972874449,,0.622365972874449,,,,
,,,,,,,,,,,
RANDOM sampling,1,33,9,3,0.664357405712226,,,,,,
,2,36,5,4,0.580545789844455,,0.633258859169872,,,,
,3,38,4,3,0.490123847036831,,,,,,
,4,31,9,5,0.748904338972214,,,,,,
,5,33,8,4,0.682362914283634,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5%-max-random-random,1,27,11,7,0.855908010290916,,,,,,
,2,28,12,5,0.811771901477348,,0.812931008984957,,,,
,3,25,11,9,0.903686459362774,,,,,,
,4,28,9,8,0.84121340377934,,,,,,
,5,34,7,4,0.652075270014407,,,,,,
,,,,,,,,,,,
5%-max-random-core_points,1,29,11,5,0.793408917609386,,,,,,
,2,33,7,5,0.692722431318457,,0.786364017027018,,,,
,3,31,8,6,0.757726005559901,,,,,,
,4,26,11,8,0.881453856052349,,,,,,
,5,29,10,6,0.806508874594998,,,,,,
,,,,,,,,,,,
5%-max-random-border_points,1,22,12,11,0.952740324283625,,,,,,
,2,27,10,8,0.862721368971064,,0.881824879933217,,,,
,3,25,13,7,0.887224408869646,,,,,,
,4,24,11,10,0.922857593492943,,,,,,
,5,30,9,6,0.78358070404881,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-random,1,20,16,9,0.955725414367036,,,,,,
,2,23,20,2,0.766269828296461,,0.890101007765227,,,,
,3,21,20,4,0.847635358091741,,,,,,
,4,20,16,9,0.955725414367036,,,,,,
,5,20,18,7,0.92514902370386,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-core_points,1,27,14,4,0.805465363677217,,,,,,
,2,22,17,6,0.89773242640825,,0.861376068908107,,,,
,3,23,19,3,0.807953978044874,,,,,,
,4,22,19,4,0.845659978873574,,,,,,
,5,21,15,9,0.950068597536621,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-border_points,1,19,15,11,0.97816067935047,,,,,,
,2,20,17,8,0.942300024346917,,0.934237212262274,,,,
,3,24,15,6,0.883037440954758,,,,,,
,4,21,13,11,0.963713782704112,,,,,,
,5,20,19,6,0.903974133955111,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-random,1,22,19,4,0.845659978873574,,,,,,
,2,23,17,5,0.869210267563272,,0.862427943471454,,,,
,3,21,20,4,0.847635358091741,,,,,,
,4,20,19,6,0.903974133955111,,,,,,
,5,22,19,4,0.845659978873574,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-core_points,1,23,17,5,0.869210267563272,,,,,,
,2,20,19,6,0.903974133955111,,0.884648945068379,,,,
,3,22,16,7,0.916592442908009,,,,,,
,4,24,17,4,0.835735454507256,,,,,,
,5,22,17,6,0.89773242640825,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-border_points,1,21,18,6,0.901897235871153,,,,,,
,2,17,16,12,0.990236831650108,,0.943727626265652,,,,
,3,22,16,7,0.916592442908009,,,,,,
,4,23,12,10,0.937318122424259,,,,,,
,5,18,17,10,0.972593498474734,,,,,,
,,,,,,,,,,,
2Q,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Method,Run,class=2.0,class=1.0,,,,,,,,
-,Complete-Data,700,400,0.94566030460064,,,,,,,
,,,,,,,,,,,
RANDOM sampling,1,31,24,0.988283610991916,,,,,,,
,2,32,23,0.980597440991727,,,,,,,
,3,38,17,0.892121280577168,0.940612179698084,,,,,,
,4,37,18,0.912115630720428,,,,,,,
,5,36,19,0.92994293520918,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5%-max-random-random,1,35,20,0.94566030460064,,,,,,,
,2,39,16,0.869892685604156,0.882033641560202,,,,,,
,3,43,12,0.756833632418403,,,,,,,
,4,35,20,0.94566030460064,,,,,,,
,5,38,17,0.892121280577168,,,,,,,
,,,,,,,,,,,
5%-max-random-core_points,1,40,15,0.845350936622436,,,,,,,
,2,38,17,0.892121280577168,,,,,,,
,3,37,18,0.912115630720428,0.872966294029325,,,,,,
,4,40,15,0.845350936622436,,,,,,,
,5,39,16,0.869892685604156,,,,,,,
,,,,,,,,,,,
5%-max-random-border_points,1,42,13,0.788940657296621,,,,,,,
,2,44,11,0.721928094887362,0.847707474621841,,,,,,
,3,35,20,0.94566030460064,,,,,,,
,4,37,18,0.912115630720428,,,,,,,
,5,39,16,0.869892685604156,,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-random,1,38,17,0.892121280577168,,,,,,,
,2,41,14,0.818403329921971,0.857884491740778,,,,,,
,3,43,12,0.756833632418403,,,,,,,
,4,38,17,0.892121280577168,,,,,,,
,5,36,19,0.92994293520918,,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-core_points,1,40,15,0.845350936622436,,,,,,,
,2,43,12,0.756833632418403,0.793272437735567,,,,,,
,3,42,13,0.788940657296621,,,,,,,
,4,43,12,0.756833632418403,,,,,,,
,5,41,14,0.818403329921971,,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-border_points,1,39,16,0.869892685604156,,,,,,,
,2,38,17,0.892121280577168,0.895239892508968,,,,,,
,3,38,17,0.892121280577168,,,,,,,
,4,38,17,0.892121280577168,,,,,,,
,5,36,19,0.92994293520918,,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-random,1,41,14,0.818403329921971,,,,,,,
,2,44,11,0.721928094887362,0.822256079686107,,,,,,
,3,42,13,0.788940657296621,,,,,,,
,4,39,16,0.869892685604156,,,,,,,
,5,37,18,0.912115630720428,,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-core_points,1,47,8,0.598347422091042,,,,,,,
,2,43,12,0.756833632418403,0.713079687212041,,,,,,
,3,40,15,0.845350936622436,,,,,,,
,4,44,11,0.721928094887362,,,,,,,
,5,46,9,0.642938350040961,,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-border_points,1,41,14,0.818403329921971,,,,,,,
,2,45,10,0.684038435639042,0.834456481622906,,,,,,
,3,38,17,0.892121280577168,,,,,,,
,4,34,21,0.959316032054378,,,,,,,
,5,41,14,0.818403329921971,,,,,,,
,,,,,,,,,,,
shuttle,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Method,Run,class=1.0,class=4.0,class=5.0,class=3.0,class=2.0,class=7.0,class=6.0,,,
-,Complete-Data,45586,8903,3267,171,49,13,10,0.342009534264206,,
,,,,,,,,,,,
RANDOM sampling,1,2272,441,168,13,5,,,0.421095816575586,,
,2,2281,439,168,6,4,1,,0.370680181124827,,0.387368941519507
,3,2273,448,170,6,2,,,0.41222002461806,,
,4,2302,412,173,8,3,,1,0.365410639522466,,
,5,2294,420,174,7,3,,1,0.367438045756596,,
,,,,,,,,,,,
,,,,,,,,,,,
5%-max-random-random,1,1591,678,557,45,13,8,7,0.568246347190039,,
,2,1656,638,540,42,12,8,3,0.551663773415381,,
,3,1614,657,567,47,6,6,2,0.554524272184759,,0.560452371364471
,4,1628,628,566,46,16,10,5,0.564921699168357,,
,5,1624,654,548,43,17,7,6,0.562905764863818,,
,,,,,,,,,,,
5%-max-random-core_points,1,1827,526,498,32,9,7,0.550004701902654,,,
,2,1806,551,496,31,9,6,0.553492822756464,,,0.545082004057448
,3,1805,540,516,25,7,6,0.548953830480283,,,
,4,1835,518,509,22,8,7,0.54164232768786,,,
,5,1880,509,472,20,10,8,0.531316337459979,,,
,,,,,,,,,,,
5%-max-random-border_points,1,1335,917,470,134,20,13,10,0.635373928729708,,
,2,1369,901,454,131,21,13,10,0.63070970989628,,
,3,1365,920,430,140,21,13,10,0.630962378578697,,0.631971730538398
,4,1369,919,433,135,20,13,10,0.628725034554278,,
,5,1333,925,464,136,18,13,10,0.634087600933025,,
,,,,,,,,,,,
5%-max-hard_discard-random,1,1398,845,567,60,20,7,2,0.598355912362941,,
,2,1374,912,528,59,17,7,2,0.594497261228013,,
,3,1373,894,552,53,18,7,2,0.594500685088051,,0.595241387255988
,4,1407,862,541,58,20,9,2,0.59628056108896,,
,5,1388,895,540,42,20,9,5,0.592572516511973,,
,,,,,,,,,,,
5%-max-hard_discard-core_points,1,1183,1055,596,49,9,7,0.647564442567462,,,
,2,1164,1059,613,40,16,7,0.650282331414617,,,0.648516568651732
,3,1164,1105,575,38,9,8,0.63954278921205,,,
,4,1173,1094,555,45,25,7,0.65329603448884,,,
,5,1161,1079,589,48,14,8,0.651897245575693,,,
,,,,,,,,,,,
5%-max-hard_discard-border_points,1,1822,571,361,104,21,10,10,0.547565033997519,,
,2,1837,572,351,102,18,10,9,0.5405013377087,,
,3,1828,588,344,101,18,10,10,0.54212110768249,,0.543099100657491
,4,1852,557,349,103,18,10,10,0.538210054504206,,
,5,1821,574,360,104,20,10,10,0.54709796939454,,
,,,,,,,,,,,
5%-max-soft_discard-random,1,1373,893,539,60,22,10,2,0.601963831035629,,
,2,1355,903,542,68,17,9,5,0.606078264400523,,0.599201197032324
,3,1376,886,543,62,18,10,4,0.602367840622444,,
,4,1358,955,512,49,17,7,1,0.587719610512279,,
,5,1388,894,525,62,19,8,3,0.597876438590743,,
,,,,,,,,,,,
5%-max-soft_discard-core_points,1,1142,1111,577,47,15,7,0.64989412413709,,,
,2,1148,1119,557,49,17,9,0.652006927069414,,,
,3,1167,1073,599,43,9,8,0.64552825371289,,,0.64817574879658
,4,1209,1063,563,46,10,8,0.643192044942073,,,
,5,1147,1105,578,47,12,10,0.650257394121432,,,
,,,,,,,,,,,
5%-max-soft_discard-border_points,1,1832,571,359,101,15,11,10,0.541452961252561,,
,2,1808,594,360,101,16,10,10,0.546316571835817,,
,3,1824,574,359,103,21,10,8,0.545213683993219,,0.542331981110396
,4,1817,587,354,101,21,10,9,0.546332209731915,,
,5,1849,592,323,103,14,10,8,0.532344478738468,,
,,,,,,,,,,,
,,,,,,,,,,,
haberman,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Method,Run,class=1.0,class=2.0,,,,,,,,
-,Complete-Data,225,81,0.833764907210665,,,,,,,
,,,,,,,,,,,
RANDOM sampling,1,9,6,0.970950594454669,,,,,,,
,2,10,5,0.918295834054489,,,,,,,
,3,14,1,0.353359335021421,,,,,,,
,4,13,2,0.566509506552905,,,,,,,
,5,11,4,0.836640741941167,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5%-max-random-random,1,10,5,0.918295834054489,,,,,,,
,2,8,7,0.996791631981637,0.878390427383829,,,,,,
,3,10,5,0.918295834054489,,,,,,,
,4,12,3,0.721928094887362,,,,,,,
,5,11,4,0.836640741941167,,,,,,,
,,,,,,,,,,,
5%-max-random-core_points,1,12,3,0.721928094887362,,,,,,,
,2,9,6,0.970950594454669,,,,,,,
,3,10,5,0.918295834054489,0.760234920071822,,,,,,
,4,14,1,0.353359335021421,,,,,,,
,5,11,4,0.836640741941167,,,,,,,
,,,,,,,,,,,
5%-max-random-border_points,1,8,7,0.996791631981637,,,,,,,
,2,11,4,0.836640741941167,0.822785861127739,,,,,,
,3,12,3,0.721928094887362,,,,,,,
,4,12,3,0.721928094887362,,,,,,,
,5,11,4,0.836640741941167,,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-random,1,9,6,0.970950594454669,,,,,,,
,2,8,7,0.996791631981637,0.949256831457362,,,,,,
,3,11,4,0.836640741941167,,,,,,,
,4,9,6,0.970950594454669,,,,,,,
,5,9,6,0.970950594454669,,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-core_points,1,12,3,0.721928094887362,,,,,,,
,2,10,5,0.918295834054489,0.905252397886529,,,,,,
,3,10,5,0.918295834054489,,,,,,,
,4,9,6,0.970950594454669,,,,,,,
,5,8,7,0.996791631981637,,,,,,,
,,,,,,,,,,,
5%-max-hard_discard-border_points,1,8,7,0.996791631981637,,,,,,,
,2,9,6,0.970950594454669,,,,,,,
,3,8,7,0.996791631981637,0.97075605738542,,,,,,
,4,9,6,0.970950594454669,,,,,,,
,5,10,5,0.918295834054489,,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-random,1,9,6,0.970950594454669,,,,,,,
,2,9,6,0.970950594454669,,,,,,,
,3,12,3,0.721928094887362,0.931482509551995,,,,,,
,4,8,7,0.996791631981637,,,,,,,
,5,8,7,0.996791631981637,,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-core_points,1,8,7,0.996791631981637,,,,,,,
,2,10,5,0.918295834054489,,,,,,,
,3,9,6,0.970950594454669,0.97075605738542,,,,,,
,4,8,7,0.996791631981637,,,,,,,
,5,9,6,0.970950594454669,,,,,,,
,,,,,,,,,,,
5%-max-soft_discard-border_points,1,8,7,0.996791631981637,,,,,,,
,2,10,5,0.918295834054489,0.965393312810778,,,,,,
,3,8,7,0.996791631981637,,,,,,,
,4,8,7,0.996791631981637,,,,,,,
,5,10,5,0.918295834054489,,,,,,,
